Date,Time,T_heater,T_liquid,PWM
09-11-2023_17-19-03,0.017222222222222222,24.78,24.69,25
09-11-2023_17-19-03,0.017222222222222222,24.78,24.69,25
09-11-2023_17-19-03,0.017222222222222222,24.77,24.7,25
09-11-2023_17-19-04,0.0175,24.79,24.72,25
09-11-2023_17-19-04,0.0175,24.78,24.74,25
09-11-2023_17-19-04,0.0175,24.78,24.75,25
09-11-2023_17-19-04,0.0175,24.78,24.77,25
09-11-2023_17-19-05,0.017777777777777778,24.79,24.78,25
09-11-2023_17-19-05,0.017777777777777778,24.79,24.78,25
09-11-2023_17-19-05,0.017777777777777778,24.79,24.81,25
09-11-2023_17-19-05,0.017777777777777778,24.79,24.82,25
09-11-2023_17-19-06,0.018055555555555554,24.79,24.84,25
09-11-2023_17-19-06,0.018055555555555554,24.79,24.85,25
09-11-2023_17-19-06,0.018055555555555554,24.79,24.85,25
09-11-2023_17-19-06,0.018055555555555554,24.79,24.87,25
09-11-2023_17-19-07,0.018333333333333333,24.79,24.88,25
09-11-2023_17-19-07,0.018333333333333333,24.8,24.9,25
09-11-2023_17-19-07,0.018333333333333333,24.8,24.91,25
09-11-2023_17-19-07,0.018333333333333333,24.8,24.91,25
09-11-2023_17-19-08,0.01861111111111111,24.8,24.92,25
09-11-2023_17-19-08,0.01861111111111111,24.8,24.93,25
09-11-2023_17-19-08,0.01861111111111111,24.81,24.94,25
09-11-2023_17-19-08,0.01861111111111111,24.81,24.95,25
09-11-2023_17-19-09,0.01888888888888889,24.81,24.94,25
09-11-2023_17-19-09,0.01888888888888889,24.81,24.95,25
09-11-2023_17-19-09,0.01888888888888889,24.82,24.95,25
09-11-2023_17-19-09,0.01888888888888889,24.82,24.96,25
09-11-2023_17-19-10,0.019166666666666665,24.82,24.95,25
09-11-2023_17-19-10,0.019166666666666665,24.82,24.96,25
09-11-2023_17-19-10,0.019166666666666665,24.82,24.96,25
09-11-2023_17-19-10,0.019166666666666665,24.82,24.96,25
09-11-2023_17-19-11,0.019444444444444445,24.83,24.96,25
09-11-2023_17-19-11,0.019444444444444445,24.83,24.96,25
09-11-2023_17-19-11,0.019444444444444445,24.83,24.97,25
09-11-2023_17-19-11,0.019444444444444445,24.83,24.97,25
09-11-2023_17-19-12,0.01972222222222222,24.83,24.97,25
09-11-2023_17-19-12,0.01972222222222222,24.83,24.97,25
09-11-2023_17-19-12,0.01972222222222222,24.84,24.97,25
09-11-2023_17-19-12,0.01972222222222222,24.84,24.98,25
09-11-2023_17-19-13,0.02,24.84,24.98,25
09-11-2023_17-19-13,0.02,24.84,24.98,25
09-11-2023_17-19-13,0.02,24.85,24.98,25
09-11-2023_17-19-13,0.02,24.85,24.98,25
09-11-2023_17-19-14,0.020277777777777777,24.85,24.98,25
09-11-2023_17-19-14,0.020277777777777777,24.86,24.97,25
09-11-2023_17-19-14,0.020277777777777777,24.85,24.97,25
09-11-2023_17-19-14,0.020277777777777777,24.86,24.97,25
09-11-2023_17-19-15,0.020555555555555556,24.86,24.98,25
09-11-2023_17-19-15,0.020555555555555556,24.87,24.98,25
09-11-2023_17-19-15,0.020555555555555556,24.87,24.98,25
09-11-2023_17-19-15,0.020555555555555556,24.87,24.99,25
09-11-2023_17-19-16,0.020833333333333332,24.87,24.99,25
09-11-2023_17-19-16,0.020833333333333332,24.87,24.99,25
09-11-2023_17-19-16,0.020833333333333332,24.88,24.99,25
09-11-2023_17-19-16,0.020833333333333332,24.89,24.99,25
09-11-2023_17-19-17,0.021111111111111112,24.89,24.99,25
09-11-2023_17-19-17,0.021111111111111112,24.89,24.98,25
09-11-2023_17-19-17,0.021111111111111112,24.89,24.98,25
09-11-2023_17-19-17,0.021111111111111112,24.9,24.98,25
09-11-2023_17-19-18,0.021388888888888888,24.9,24.97,25
09-11-2023_17-19-18,0.021388888888888888,24.91,24.97,25
09-11-2023_17-19-18,0.021388888888888888,24.9,24.96,25
09-11-2023_17-19-18,0.021388888888888888,24.91,24.94,25
09-11-2023_17-19-19,0.021666666666666667,24.91,24.92,25
09-11-2023_17-19-19,0.021666666666666667,24.91,24.89,25
09-11-2023_17-19-19,0.021666666666666667,24.92,24.88,25
09-11-2023_17-19-19,0.021666666666666667,24.92,24.86,25
09-11-2023_17-19-20,0.021944444444444444,24.93,24.83,25
09-11-2023_17-19-20,0.021944444444444444,24.93,24.82,25
09-11-2023_17-19-20,0.021944444444444444,24.94,24.8,25
09-11-2023_17-19-20,0.021944444444444444,24.93,24.79,25
09-11-2023_17-19-21,0.022222222222222223,24.94,24.78,25
09-11-2023_17-19-21,0.022222222222222223,24.95,24.77,25
09-11-2023_17-19-21,0.022222222222222223,24.95,24.76,25
09-11-2023_17-19-21,0.022222222222222223,24.95,24.76,25
09-11-2023_17-19-22,0.0225,24.95,24.75,25
09-11-2023_17-19-22,0.0225,24.96,24.75,25
09-11-2023_17-19-22,0.0225,24.96,24.76,25
09-11-2023_17-19-22,0.0225,24.97,24.76,25
09-11-2023_17-19-23,0.02277777777777778,24.97,24.77,25
09-11-2023_17-19-23,0.02277777777777778,24.97,24.78,25
09-11-2023_17-19-23,0.02277777777777778,24.98,24.79,25
09-11-2023_17-19-23,0.02277777777777778,24.98,24.81,25
09-11-2023_17-19-24,0.023055555555555555,24.99,24.81,25
09-11-2023_17-19-24,0.023055555555555555,24.98,24.82,25
09-11-2023_17-19-24,0.023055555555555555,25.0,24.82,25
09-11-2023_17-19-24,0.023055555555555555,24.99,24.83,25
09-11-2023_17-19-25,0.023333333333333334,25.0,24.85,25
09-11-2023_17-19-25,0.023333333333333334,25.0,24.84,25
09-11-2023_17-19-25,0.023333333333333334,25.0,24.85,25
09-11-2023_17-19-25,0.023333333333333334,25.0,24.84,25
09-11-2023_17-19-26,0.02361111111111111,25.0,24.83,25
09-11-2023_17-19-26,0.02361111111111111,25.0,24.83,25
09-11-2023_17-19-26,0.02361111111111111,25.01,24.82,25
09-11-2023_17-19-26,0.02361111111111111,25.01,24.8,25
09-11-2023_17-19-27,0.02388888888888889,25.01,24.78,25
09-11-2023_17-19-27,0.02388888888888889,25.02,24.77,25
09-11-2023_17-19-27,0.02388888888888889,25.02,24.75,25
09-11-2023_17-19-27,0.02388888888888889,25.02,24.73,25
09-11-2023_17-19-28,0.024166666666666666,25.02,24.72,25
09-11-2023_17-19-28,0.024166666666666666,25.03,24.7,25
09-11-2023_17-19-28,0.024166666666666666,25.03,24.68,25
09-11-2023_17-19-28,0.024166666666666666,25.03,24.67,25
09-11-2023_17-19-29,0.024444444444444446,25.04,24.66,25
09-11-2023_17-19-29,0.024444444444444446,25.04,24.66,25
09-11-2023_17-19-29,0.024444444444444446,25.05,24.65,25
09-11-2023_17-19-29,0.024444444444444446,25.06,24.66,25
09-11-2023_17-19-30,0.024722222222222222,25.06,24.66,25
09-11-2023_17-19-30,0.024722222222222222,25.06,24.67,25
09-11-2023_17-19-30,0.024722222222222222,25.06,24.69,25
09-11-2023_17-19-30,0.024722222222222222,25.07,24.69,25
09-11-2023_17-19-31,0.025,25.07,24.71,25
09-11-2023_17-19-31,0.025,25.07,24.72,25
09-11-2023_17-19-31,0.025,25.08,24.73,25
09-11-2023_17-19-31,0.025,25.09,24.75,25
09-11-2023_17-19-32,0.025277777777777777,25.09,24.77,25
09-11-2023_17-19-32,0.025277777777777777,25.1,24.79,25
09-11-2023_17-19-32,0.025277777777777777,25.11,24.8,25
09-11-2023_17-19-32,0.025277777777777777,25.11,24.8,25
09-11-2023_17-19-33,0.025555555555555557,25.11,24.8,25
09-11-2023_17-19-33,0.025555555555555557,25.12,24.8,25
09-11-2023_17-19-33,0.025555555555555557,25.12,24.79,25
09-11-2023_17-19-33,0.025555555555555557,25.13,24.78,25
09-11-2023_17-19-34,0.025833333333333333,25.14,24.78,25
09-11-2023_17-19-34,0.025833333333333333,25.13,24.77,25
09-11-2023_17-19-34,0.025833333333333333,25.14,24.78,25
09-11-2023_17-19-34,0.025833333333333333,25.15,24.78,25
09-11-2023_17-19-35,0.026111111111111113,25.15,24.78,25
09-11-2023_17-19-35,0.026111111111111113,25.16,24.79,25
09-11-2023_17-19-35,0.026111111111111113,25.16,24.8,25
09-11-2023_17-19-35,0.026111111111111113,25.17,24.8,25
09-11-2023_17-19-36,0.02638888888888889,25.17,24.81,25
09-11-2023_17-19-36,0.02638888888888889,25.18,24.83,25
09-11-2023_17-19-36,0.02638888888888889,25.18,24.85,25
09-11-2023_17-19-36,0.02638888888888889,25.19,24.86,25
09-11-2023_17-19-37,0.02666666666666667,25.2,24.88,25
09-11-2023_17-19-37,0.02666666666666667,25.19,24.89,25
09-11-2023_17-19-37,0.02666666666666667,25.2,24.89,25
09-11-2023_17-19-37,0.02666666666666667,25.21,24.9,25
09-11-2023_17-19-38,0.026944444444444444,25.21,24.91,25
09-11-2023_17-19-38,0.026944444444444444,25.21,24.91,25
09-11-2023_17-19-38,0.026944444444444444,25.22,24.91,25
09-11-2023_17-19-38,0.026944444444444444,25.23,24.9,25
09-11-2023_17-19-39,0.02722222222222222,25.23,24.89,25
09-11-2023_17-19-39,0.02722222222222222,25.24,24.88,25
09-11-2023_17-19-39,0.02722222222222222,25.24,24.88,25
09-11-2023_17-19-39,0.0275,25.25,24.88,25
09-11-2023_17-19-40,0.0275,25.25,24.89,25
09-11-2023_17-19-40,0.0275,25.26,24.88,25
09-11-2023_17-19-40,0.0275,25.27,24.89,25
09-11-2023_17-19-40,0.027777777777777776,25.27,24.9,25
09-11-2023_17-19-41,0.027777777777777776,25.27,24.91,25
09-11-2023_17-19-41,0.027777777777777776,25.28,24.93,25
09-11-2023_17-19-41,0.027777777777777776,25.28,24.93,25
09-11-2023_17-19-41,0.028055555555555556,25.29,24.94,25
09-11-2023_17-19-42,0.028055555555555556,25.3,24.95,25
09-11-2023_17-19-42,0.028055555555555556,25.29,24.96,25
09-11-2023_17-19-42,0.028055555555555556,25.3,24.97,25
09-11-2023_17-19-42,0.028333333333333332,25.31,24.96,25
09-11-2023_17-19-43,0.028333333333333332,25.31,24.97,25
09-11-2023_17-19-43,0.028333333333333332,25.32,24.96,25
09-11-2023_17-19-43,0.028333333333333332,25.32,24.95,25
09-11-2023_17-19-43,0.02861111111111111,25.33,24.94,25
09-11-2023_17-19-44,0.02861111111111111,25.33,24.93,25
09-11-2023_17-19-44,0.02861111111111111,25.34,24.92,25
09-11-2023_17-19-44,0.02861111111111111,25.34,24.91,25
09-11-2023_17-19-44,0.028888888888888888,25.35,24.91,25
09-11-2023_17-19-45,0.028888888888888888,25.35,24.9,25
09-11-2023_17-19-45,0.028888888888888888,25.36,24.9,25
09-11-2023_17-19-45,0.028888888888888888,25.37,24.9,25
09-11-2023_17-19-45,0.029166666666666667,25.38,24.9,25
09-11-2023_17-19-46,0.029166666666666667,25.38,24.92,25
09-11-2023_17-19-46,0.029166666666666667,25.39,24.94,25
09-11-2023_17-19-46,0.029166666666666667,25.39,24.95,25
09-11-2023_17-19-46,0.029444444444444443,25.4,24.97,25
09-11-2023_17-19-47,0.029444444444444443,25.4,24.97,25
09-11-2023_17-19-47,0.029444444444444443,25.41,24.98,25
09-11-2023_17-19-47,0.029444444444444443,25.42,24.98,25
09-11-2023_17-19-47,0.029722222222222223,25.42,24.98,25
09-11-2023_17-19-48,0.029722222222222223,25.42,24.97,25
09-11-2023_17-19-48,0.029722222222222223,25.43,24.97,25
09-11-2023_17-19-48,0.029722222222222223,25.43,24.96,25
09-11-2023_17-19-48,0.03,25.44,24.95,25
09-11-2023_17-19-49,0.03,25.45,24.94,25
09-11-2023_17-19-49,0.03,25.46,24.94,25
09-11-2023_17-19-49,0.03,25.45,24.94,25
09-11-2023_17-19-49,0.03027777777777778,25.46,24.95,25
09-11-2023_17-19-50,0.03027777777777778,25.47,24.94,25
09-11-2023_17-19-50,0.03027777777777778,25.47,24.94,25
09-11-2023_17-19-50,0.03027777777777778,25.47,24.92,25
