Date,Time,T_heater,T_liquid,PWM
09-11-2023_16-31-26,0.014722222222222222,27.24,25.05,255
09-11-2023_16-31-26,0.014722222222222222,27.29,25.21,255
09-11-2023_16-31-27,0.014722222222222222,27.34,25.05,255
09-11-2023_16-31-27,0.015,27.38,25.23,255
09-11-2023_16-31-27,0.015,27.43,25.1,255
09-11-2023_16-31-27,0.015,27.48,25.19,255
09-11-2023_16-31-28,0.015,27.53,25.14,255
09-11-2023_16-31-28,0.015277777777777777,27.57,25.14,255
09-11-2023_16-31-28,0.015277777777777777,27.61,25.22,255
09-11-2023_16-31-28,0.015277777777777777,27.66,25.08,255
09-11-2023_16-31-29,0.015277777777777777,27.7,25.23,255
09-11-2023_16-31-29,0.015555555555555555,27.75,25.07,255
09-11-2023_16-31-29,0.015555555555555555,27.79,25.19,255
09-11-2023_16-31-29,0.015555555555555555,27.84,25.14,255
09-11-2023_16-31-30,0.015555555555555555,27.88,25.12,255
09-11-2023_16-31-30,0.015833333333333335,27.93,25.19,255
09-11-2023_16-31-30,0.015833333333333335,27.97,25.04,255
09-11-2023_16-31-30,0.015833333333333335,28.01,25.2,255
09-11-2023_16-31-31,0.015833333333333335,28.05,25.09,255
09-11-2023_16-31-31,0.01611111111111111,28.1,25.07,255
09-11-2023_16-31-31,0.01611111111111111,28.14,25.16,255
09-11-2023_16-31-31,0.01611111111111111,28.18,25.0,255
09-11-2023_16-31-32,0.01611111111111111,28.22,25.17,255
09-11-2023_16-31-32,0.01638888888888889,28.26,25.08,255
09-11-2023_16-31-32,0.01638888888888889,28.31,25.06,255
09-11-2023_16-31-32,0.01638888888888889,28.35,25.13,255
09-11-2023_16-31-33,0.01638888888888889,28.4,24.97,255
09-11-2023_16-31-33,0.016666666666666666,28.43,25.12,255
09-11-2023_16-31-33,0.016666666666666666,28.48,25.0,255
09-11-2023_16-31-33,0.016666666666666666,28.52,25.05,255
09-11-2023_16-31-34,0.016666666666666666,28.57,25.07,255
09-11-2023_16-31-34,0.016944444444444446,28.61,24.97,255
