Date,Time,T_heater,T_liquid,PWM
09-11-2023_18-48-06,0.2980555555555556,61.49,28.74,255
09-11-2023_18-48-06,0.2980555555555556,61.5,28.72,255
09-11-2023_18-48-07,0.2980555555555556,61.52,28.69,255
09-11-2023_18-48-07,0.29833333333333334,61.54,28.73,255
09-11-2023_18-48-07,0.29833333333333334,61.54,28.71,255
09-11-2023_18-48-07,0.29833333333333334,61.54,28.71,255
09-11-2023_18-48-08,0.29833333333333334,61.56,28.7,255
09-11-2023_18-48-08,0.2986111111111111,61.58,28.72,255
09-11-2023_18-48-08,0.2986111111111111,61.57,28.71,255
09-11-2023_18-48-08,0.2986111111111111,61.57,28.73,255
09-11-2023_18-48-09,0.2986111111111111,61.6,28.74,255
09-11-2023_18-48-09,0.29888888888888887,61.59,28.72,255
09-11-2023_18-48-09,0.29888888888888887,61.62,28.73,255
09-11-2023_18-48-09,0.29888888888888887,61.62,28.74,255
09-11-2023_18-48-10,0.29888888888888887,61.62,28.74,255
09-11-2023_18-48-10,0.2991666666666667,61.63,28.77,255
09-11-2023_18-48-10,0.2991666666666667,61.66,28.74,255
09-11-2023_18-48-10,0.2991666666666667,61.65,28.72,255
09-11-2023_18-48-11,0.2991666666666667,61.65,28.75,255
09-11-2023_18-48-11,0.29944444444444446,61.68,28.77,255
09-11-2023_18-48-11,0.29944444444444446,61.67,28.73,255
09-11-2023_18-48-11,0.29944444444444446,61.68,28.79,255
09-11-2023_18-48-12,0.29944444444444446,61.7,28.75,255
09-11-2023_18-48-12,0.2997222222222222,61.72,28.75,255
09-11-2023_18-48-12,0.2997222222222222,61.72,28.75,255
09-11-2023_18-48-12,0.2997222222222222,61.73,28.73,255
09-11-2023_18-48-13,0.2997222222222222,61.73,28.74,255
09-11-2023_18-48-13,0.3,61.77,28.76,255
09-11-2023_18-48-13,0.3,61.75,28.74,255
09-11-2023_18-48-13,0.3,61.75,28.78,255
09-11-2023_18-48-14,0.3,61.77,28.76,255
09-11-2023_18-48-14,0.30027777777777775,61.79,28.74,255
09-11-2023_18-48-14,0.30027777777777775,61.78,28.77,255
09-11-2023_18-48-14,0.30027777777777775,61.81,28.76,255
09-11-2023_18-48-15,0.30027777777777775,61.81,28.76,255
09-11-2023_18-48-15,0.3005555555555556,61.82,28.78,255
09-11-2023_18-48-15,0.3005555555555556,61.82,28.78,255
09-11-2023_18-48-15,0.3005555555555556,61.86,28.79,255
09-11-2023_18-48-16,0.3005555555555556,61.84,28.79,255
09-11-2023_18-48-16,0.30083333333333334,61.86,28.76,255
09-11-2023_18-48-16,0.30083333333333334,61.86,28.76,255
09-11-2023_18-48-16,0.30083333333333334,61.88,28.8,255
09-11-2023_18-48-17,0.30083333333333334,61.86,28.79,255
09-11-2023_18-48-17,0.3011111111111111,61.89,28.77,255
09-11-2023_18-48-17,0.3011111111111111,61.91,28.79,255
09-11-2023_18-48-17,0.3011111111111111,61.93,28.8,255
09-11-2023_18-48-18,0.3011111111111111,61.92,28.81,255
09-11-2023_18-48-18,0.3013888888888889,61.93,28.81,255
09-11-2023_18-48-18,0.3013888888888889,61.93,28.78,255
09-11-2023_18-48-18,0.3013888888888889,61.94,28.8,255
09-11-2023_18-48-19,0.3013888888888889,61.96,28.79,255
09-11-2023_18-48-19,0.3016666666666667,61.96,28.81,255
09-11-2023_18-48-19,0.3016666666666667,61.98,28.83,255
09-11-2023_18-48-19,0.3016666666666667,61.99,28.8,255
09-11-2023_18-48-20,0.3016666666666667,61.99,28.8,255
09-11-2023_18-48-20,0.30194444444444446,62.0,28.8,255
09-11-2023_18-48-20,0.30194444444444446,62.01,28.83,255
09-11-2023_18-48-20,0.30194444444444446,62.04,28.84,255
09-11-2023_18-48-21,0.30194444444444446,62.05,28.83,255
09-11-2023_18-48-21,0.3022222222222222,62.04,28.85,255
09-11-2023_18-48-21,0.3022222222222222,62.05,28.85,255
09-11-2023_18-48-21,0.3022222222222222,62.05,28.84,255
09-11-2023_18-48-22,0.3022222222222222,62.06,28.8,255
09-11-2023_18-48-22,0.3025,62.09,28.82,255
09-11-2023_18-48-22,0.3025,62.11,28.86,255
09-11-2023_18-48-22,0.3025,62.1,28.83,255
09-11-2023_18-48-23,0.3025,62.13,28.83,255
09-11-2023_18-48-23,0.30277777777777776,62.11,28.82,255
09-11-2023_18-48-23,0.30277777777777776,62.13,28.85,255
09-11-2023_18-48-23,0.30277777777777776,62.15,28.82,255
09-11-2023_18-48-24,0.30277777777777776,62.15,28.85,255
09-11-2023_18-48-24,0.3030555555555556,62.17,28.81,255
09-11-2023_18-48-24,0.3030555555555556,62.17,28.88,255
09-11-2023_18-48-24,0.3030555555555556,62.18,28.85,255
09-11-2023_18-48-25,0.3030555555555556,62.2,28.86,255
09-11-2023_18-48-25,0.30333333333333334,62.22,28.85,255
09-11-2023_18-48-25,0.30333333333333334,62.22,28.87,255
09-11-2023_18-48-25,0.30333333333333334,62.21,28.87,255
09-11-2023_18-48-26,0.30333333333333334,62.25,28.87,255
09-11-2023_18-48-26,0.3036111111111111,62.24,28.87,255
09-11-2023_18-48-26,0.3036111111111111,62.23,28.84,255
09-11-2023_18-48-26,0.3036111111111111,62.24,28.89,255
09-11-2023_18-48-27,0.3036111111111111,62.29,28.82,255
09-11-2023_18-48-27,0.3038888888888889,62.28,28.86,255
09-11-2023_18-48-27,0.3038888888888889,62.29,28.85,255
09-11-2023_18-48-27,0.3038888888888889,62.32,28.84,255
09-11-2023_18-48-28,0.3038888888888889,62.31,28.86,255
09-11-2023_18-48-28,0.30416666666666664,62.3,28.87,255
09-11-2023_18-48-28,0.30416666666666664,62.34,28.87,255
09-11-2023_18-48-28,0.30416666666666664,62.34,28.85,255
09-11-2023_18-48-29,0.30416666666666664,62.37,28.9,255
09-11-2023_18-48-29,0.30444444444444446,62.37,28.88,255
09-11-2023_18-48-29,0.30444444444444446,62.35,28.89,255
09-11-2023_18-48-29,0.30444444444444446,62.36,28.87,255
09-11-2023_18-48-30,0.30444444444444446,62.37,28.87,255
09-11-2023_18-48-30,0.3047222222222222,62.4,28.88,255
09-11-2023_18-48-30,0.3047222222222222,62.41,28.89,255
09-11-2023_18-48-30,0.3047222222222222,62.43,28.91,255
09-11-2023_18-48-31,0.3047222222222222,62.43,28.9,255
09-11-2023_18-48-31,0.305,62.42,28.87,255
09-11-2023_18-48-31,0.305,62.46,28.88,255
09-11-2023_18-48-31,0.305,62.44,28.91,255
09-11-2023_18-48-32,0.305,62.47,28.94,255
09-11-2023_18-48-32,0.30527777777777776,62.46,28.93,255
09-11-2023_18-48-32,0.30527777777777776,62.47,28.9,255
09-11-2023_18-48-32,0.30527777777777776,62.48,28.9,255
09-11-2023_18-48-33,0.30527777777777776,62.5,28.9,255
09-11-2023_18-48-33,0.3055555555555556,62.52,28.87,255
09-11-2023_18-48-33,0.3055555555555556,62.53,28.9,255
09-11-2023_18-48-33,0.3055555555555556,62.52,28.92,255
09-11-2023_18-48-34,0.3055555555555556,62.54,28.91,255
09-11-2023_18-48-34,0.30583333333333335,62.55,28.91,255
09-11-2023_18-48-34,0.30583333333333335,62.55,28.93,255
09-11-2023_18-48-34,0.30583333333333335,62.59,28.9,255
09-11-2023_18-48-35,0.30583333333333335,62.57,28.93,255
09-11-2023_18-48-35,0.3061111111111111,62.58,28.94,255
09-11-2023_18-48-35,0.3061111111111111,62.6,28.96,255
09-11-2023_18-48-35,0.3061111111111111,62.6,28.94,255
09-11-2023_18-48-36,0.3061111111111111,62.61,28.91,255
09-11-2023_18-48-36,0.3063888888888889,62.64,28.93,255
09-11-2023_18-48-36,0.3063888888888889,62.63,28.94,255
09-11-2023_18-48-36,0.3063888888888889,62.64,28.96,255
09-11-2023_18-48-37,0.3063888888888889,62.66,28.94,255
09-11-2023_18-48-37,0.30666666666666664,62.66,28.95,255
09-11-2023_18-48-37,0.30666666666666664,62.68,28.96,255
09-11-2023_18-48-37,0.30666666666666664,62.69,28.96,255
09-11-2023_18-48-38,0.30666666666666664,62.71,28.94,255
09-11-2023_18-48-38,0.30694444444444446,62.7,28.94,255
09-11-2023_18-48-38,0.30694444444444446,62.7,28.95,255
09-11-2023_18-48-38,0.30694444444444446,62.7,28.99,255
09-11-2023_18-48-39,0.30694444444444446,62.74,28.94,255
09-11-2023_18-48-39,0.30722222222222223,62.75,28.96,255
09-11-2023_18-48-39,0.30722222222222223,62.77,28.95,255
09-11-2023_18-48-39,0.30722222222222223,62.78,28.96,255
09-11-2023_18-48-40,0.30722222222222223,62.77,28.97,255
09-11-2023_18-48-40,0.3075,62.78,29.02,255
09-11-2023_18-48-40,0.3075,62.79,28.96,255
09-11-2023_18-48-40,0.3075,62.79,29.0,255
09-11-2023_18-48-41,0.3075,62.81,28.96,255
09-11-2023_18-48-41,0.30777777777777776,62.82,28.99,255
09-11-2023_18-48-41,0.30777777777777776,62.81,28.98,255
09-11-2023_18-48-41,0.30777777777777776,62.83,29.0,255
09-11-2023_18-48-42,0.30777777777777776,62.84,28.98,255
09-11-2023_18-48-42,0.3080555555555556,62.87,28.98,255
09-11-2023_18-48-42,0.3080555555555556,62.88,28.98,255
09-11-2023_18-48-42,0.3080555555555556,62.9,28.99,255
09-11-2023_18-48-43,0.3080555555555556,62.9,28.96,255
09-11-2023_18-48-43,0.30833333333333335,62.91,28.95,255
09-11-2023_18-48-43,0.30833333333333335,62.91,28.97,255
09-11-2023_18-48-43,0.30833333333333335,62.91,29.01,255
09-11-2023_18-48-44,0.30833333333333335,62.93,29.01,255
09-11-2023_18-48-44,0.3086111111111111,62.94,29.01,255
09-11-2023_18-48-44,0.3086111111111111,62.96,29.02,255
09-11-2023_18-48-44,0.3086111111111111,62.95,29.04,255
09-11-2023_18-48-45,0.3086111111111111,62.96,29.0,255
09-11-2023_18-48-45,0.3088888888888889,62.97,29.02,255
09-11-2023_18-48-45,0.3088888888888889,63.0,29.0,255
09-11-2023_18-48-45,0.3088888888888889,63.01,29.02,255
09-11-2023_18-48-46,0.3088888888888889,63.01,29.01,255
09-11-2023_18-48-46,0.30916666666666665,63.01,29.04,255
09-11-2023_18-48-46,0.30916666666666665,63.02,29.01,255
