Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-16-07,40,0.031,0.0,-3.511,22.425,22.56,21.932,22.058,-0.076,150.0,0.0
08-01-2024_13-16-07,41,0.031,0.0,-3.511,22.429,22.566,21.929,22.065,-0.113,150.0,0.0
08-01-2024_13-16-07,41,0.031,0.0,-3.511,22.427,22.548,21.911,22.06,-0.065,150.0,0.0
08-01-2024_13-16-08,41,0.031,0.0,-3.511,22.43,22.617,21.965,22.063,-0.073,150.0,0.0
08-01-2024_13-16-08,41,0.031,0.0,-3.511,22.431,22.523,21.95,22.066,-0.06,150.0,0.0
08-01-2024_13-16-08,42,0.031,0.0,-3.511,22.426,22.575,21.943,22.065,-0.072,150.0,0.0
08-01-2024_13-16-08,42,0.031,0.0,-3.511,22.43,22.6,21.939,22.069,-0.09,150.0,0.0
08-01-2024_13-16-09,42,0.031,0.0,-3.511,22.428,22.642,21.961,22.062,-0.075,150.0,0.0
08-01-2024_13-16-09,42,0.031,0.0,-3.511,22.431,22.579,21.94,22.06,-0.082,150.0,0.0
08-01-2024_13-16-09,43,0.031,0.0,-3.511,22.424,22.589,21.925,22.067,-0.088,150.0,0.0
08-01-2024_13-16-09,43,0.031,0.0,-3.511,22.429,22.598,21.957,22.066,-0.07,150.0,0.0
08-01-2024_13-16-10,43,0.031,0.0,-3.511,22.423,22.555,21.96,22.066,-0.113,150.0,0.0
08-01-2024_13-16-10,43,0.031,0.0,-3.511,22.429,22.544,21.925,22.063,-0.075,150.0,0.0
08-01-2024_13-16-10,44,0.031,0.0,-3.511,22.424,22.577,21.945,22.068,-0.082,150.0,0.0
08-01-2024_13-16-10,44,0.031,0.0,-3.511,22.422,22.613,21.94,22.068,-0.079,150.0,0.0
08-01-2024_13-16-11,44,0.031,0.0,-3.511,22.425,22.561,21.919,22.067,-0.079,150.0,0.0
08-01-2024_13-16-11,44,0.031,0.0,-3.511,22.435,22.579,21.946,22.066,-0.071,150.0,0.0
08-01-2024_13-16-11,45,0.031,0.0,-3.511,22.425,22.558,21.928,22.063,-0.052,150.0,0.0
08-01-2024_13-16-11,45,0.031,0.0,-3.511,22.426,22.57,21.948,22.064,-0.101,150.0,0.0
08-01-2024_13-16-12,45,0.031,0.0,-3.511,22.429,22.482,21.933,22.07,-0.096,150.0,0.0
08-01-2024_13-16-12,45,0.031,0.0,-3.511,22.43,22.543,21.939,22.064,-0.052,150.0,0.0
08-01-2024_13-16-12,46,0.031,0.0,-3.511,22.43,22.554,21.911,22.074,-0.113,150.0,0.0
08-01-2024_13-16-12,46,0.03,0.0,-3.511,22.431,22.584,21.936,22.069,-0.073,150.0,0.0
08-01-2024_13-16-13,46,0.03,0.0,-3.511,22.424,22.532,21.929,22.069,-0.074,150.0,0.0
08-01-2024_13-16-13,46,0.03,0.0,-3.511,22.42,22.577,21.922,22.07,-0.09,150.0,0.0
08-01-2024_13-16-13,47,0.03,0.0,-3.511,22.432,22.529,21.947,22.071,-0.065,150.0,0.0
08-01-2024_13-16-13,47,0.031,0.0,-3.511,22.429,22.506,21.92,22.071,-0.077,150.0,0.0
08-01-2024_13-16-14,47,0.031,0.0,-3.511,22.422,22.572,21.932,22.071,-0.063,150.0,0.0
08-01-2024_13-16-14,47,0.031,0.0,-3.511,22.435,22.546,21.943,22.066,-0.096,150.0,0.0
08-01-2024_13-16-14,48,0.031,0.0,-3.511,22.429,22.521,21.96,22.062,-0.08,150.0,0.0
08-01-2024_13-16-14,48,0.031,0.0,-3.511,22.423,22.501,21.982,22.064,-0.089,150.0,0.0
08-01-2024_13-16-15,48,0.031,0.0,-3.511,22.439,22.497,21.948,22.064,-0.134,150.0,0.0
08-01-2024_13-16-15,48,0.03,0.0,-3.511,22.426,22.575,21.946,22.07,-0.105,150.0,0.0
08-01-2024_13-16-15,49,0.03,0.0,-3.511,22.429,22.586,21.943,22.068,-0.06,150.0,0.0
08-01-2024_13-16-15,49,0.03,0.0,-3.511,22.42,22.56,21.943,22.068,-0.112,150.0,0.0
08-01-2024_13-16-16,49,0.03,0.0,-3.511,22.417,22.683,21.905,22.074,-0.09,150.0,0.0
08-01-2024_13-16-16,49,0.03,0.0,-3.511,22.431,22.61,21.937,22.072,-0.081,150.0,0.0
